#Frame     3.5[lower]   3.5[upper]
    1580            1            5
    1581            1            3
    1582            1            5
    1583            1            5
    1584            0            5
    1585            0            5
    1586            1            4
    1587            1            3
    1588            1            3
    1589            0            3
    1590            0            3
    1591            0            2
    1592            1            3
    1593            1            2
    1594            1            2
    1595            1            2
    1596            1            3
    1597            1            4
    1598            0            5
    1599            1            5
    1600            0            2
    1601            1            3
    1602            1            4
    1603            1            3
    1604            1            3
    1605            1            3
    1606            1            3
    1607            1            4
    1608            1            5
    1609            1            3
    1610            1            3
    1611            1            3
    1612            1            3
    1613            1            3
    1614            0            2
    1615            1            4
    1616            1            3
    1617            1            3
    1618            1            3
    1619            1            3
    1620            1            3
    1621            0            3
    1622            1            3
    1623            1            4
    1624            1            4
    1625            1            2
    1626            1            4
    1627            0            5
    1628            1            4
    1629            1            5
    1630            1            4
    1631            1            4
    1632            2            5
    1633            2            5
    1634            2            5
    1635            1            4
    1636            1            4
    1637            1            4
    1638            1            5
    1639            0            5
    1640            1            3
    1641            2            4
    1642            0            5
    1643            1            5
    1644            1            4
    1645            1            5
    1646            1            3
    1647            1            5
    1648            2            4
    1649            1            4
    1650            1            4
    1651            0            4
    1652            1            5
    1653            2            5
    1654            2            4
    1655            1            5
    1656            0            5
    1657            1            5
    1658            2            4
    1659            1            5
    1660            1            4
    1661            1            5
    1662            2            4
    1663            1            5
    1664            0            5
    1665            0            3
    1666            1            3
    1667            0            3
    1668            0            4
    1669            1            5
    1670            1            3
    1671            0            4
    1672            1            4
    1673            2            5
    1674            1            4
    1675            1            5
    1676            1            5
    1677            1            5
    1678            1            5
    1679            1            4
    1680            1            4
    1681            1            4
    1682            1            5
    1683            1            4
    1684            0            5
    1685            1            4
    1686            2            5
    1687            2            4
    1688            0            3
    1689            1            4
    1690            1            4
    1691            1            4
    1692            1            4
    1693            1            3
    1694            0            3
    1695            1            4
    1696            1            4
    1697            1            3
    1698            1            3
    1699            1            2
    1700            0            3
    1701            1            3
    1702            1            5
    1703            1            4
    1704            0            4
    1705            0            3
    1706            1            3
    1707            1            3
    1708            1            4
    1709            1            4
    1710            1            4
    1711            1            5
    1712            1            5
    1713            1            4
    1714            1            4
    1715            2            5
    1716            2            4
    1717            2            4
    1718            2            5
    1719            0            3
    1720            1            4
    1721            1            1
    1722            0            3
    1723            1            3
    1724            1            3
    1725            1            3
    1726            1            2
    1727            1            3
    1728            1            2
    1729            1            3
    1730            1            4
    1731            0            3
    1732            1            3
    1733            1            3
    1734            1            3
    1735            1            3
    1736            1            3
    1737            0            2
    1738            0            3
    1739            0            3
    1740            0            3
    1741            0            3
    1742            0            4
    1743            0            2
    1744            0            3
    1745            0            4
    1746            0            4
    1747            0            2
    1748            0            2
    1749            0            3
    1750            0            4
    1751            0            3
    1752            0            3
    1753            0            3
    1754            0            3
    1755            0            4
    1756            0            3
    1757            0            2
    1758            0            1
    1759            0            3
    1760            0            2
    1761            0            3
    1762            0            4
    1763            1            4
    1764            0            4
    1765            0            3
    1766            0            3
    1767            0            3
    1768            0            3
    1769            0            3
    1770            0            2
    1771            0            2
    1772            0            3
    1773            0            3
    1774            0            4
    1775            0            3
    1776            0            1
    1777            0            4
    1778            0            3
    1779            0            1
    1780            0            3
    1781            0            2
    1782            0            4
    1783            0            3
    1784            0            4
    1785            0            4
    1786            0            4
    1787            0            3
    1788            0            4
    1789            0            3
    1790            0            3
    1791            0            2
    1792            0            3
    1793            0            3
    1794            0            2
    1795            0            3
    1796            0            2
    1797            0            3
    1798            0            2
    1799            0            2
    1800            0            3
    1801            0            3
    1802            0            4
    1803            0            1
    1804            0            4
    1805            0            3
    1806            0            1
    1807            0            2
    1808            0            3
    1809            0            4
    1810            0            3
    1811            0            2
    1812            0            4
    1813            0            3
    1814            0            4
    1815            0            1
    1816            0            4
    1817            0            2
    1818            0            2
    1819            0            4
    1820            0            2
    1821            0            4
    1822            0            3
    1823            0            3
    1824            0            3
    1825            0            3
    1826            0            4
    1827            0            3
    1828            0            3
    1829            1            3
    1830            1            3
    1831            0            3
    1832            1            3
    1833            1            4
    1834            2            5
    1835            1            3
    1836            0            4
    1837            0            4
    1838            1            4
    1839            1            3
    1840            0            3
    1841            1            2
    1842            1            3
    1843            1            3
    1844            1            4
    1845            0            1
    1846            1            3
    1847            1            2
    1848            1            3
    1849            0            4
    1850            0            3
    1851            0            3
    1852            0            3
    1853            0            2
    1854            0            4
    1855            0            3
    1856            0            3
    1857            0            2
    1858            0            4
    1859            0            2
    1860            0            3
    1861            0            3
